variant,scenario,patient_id,controller_type,TIR,TBR,Time_below_54,Mean_glucose,CV,LBGI
SMPC short horizon,variable,7,stochastic_mpc,66.31944444444444,24.65277777777778,4.513888888888888,102.43504139129851,41.028693538461894,4.590526834214357
SMPC short horizon,variable,8,stochastic_mpc,60.416666666666664,28.125,24.305555555555554,102.55107593566201,54.04454677856293,13.861665076953937
SMPC short horizon,variable,9,stochastic_mpc,56.59722222222222,43.40277777777778,32.29166666666667,79.76608684167569,50.99496869911949,21.233984259930914
SMPC short horizon,variable,10,stochastic_mpc,75.0,25.0,7.986111111111111,94.27318152339515,36.19383854229683,5.719552683594846
SMPC short horizon,variable,11,stochastic_mpc,48.26388888888889,43.40277777777778,36.11111111111111,92.50233945936742,65.13247530108573,39.269622173204695
SMPC short horizon,variable,12,stochastic_mpc,84.02777777777779,15.972222222222221,1.3888888888888888,97.84104631555662,25.948312660530956,3.3517005969275897
SMPC short horizon,variable,13,stochastic_mpc,56.25,34.375,20.833333333333336,100.82066394939885,52.20199275008984,12.5191623975364
SMPC short horizon,variable,14,stochastic_mpc,34.72222222222222,55.208333333333336,49.30555555555556,77.95797785483175,74.47194141380933,34.77293022917837
SMPC short horizon,variable,15,stochastic_mpc,57.986111111111114,33.33333333333333,24.65277777777778,101.3240765586508,48.329661124807764,11.194354988097944
SMPC short horizon,variable,16,stochastic_mpc,58.68055555555556,33.68055555555556,19.791666666666664,100.81592414451734,44.49749269234594,7.418588255128076
SMPC short horizon,variable,17,stochastic_mpc,73.61111111111111,25.34722222222222,9.027777777777777,110.36994868267561,37.07461918329083,4.791454168244466
SMPC short horizon,variable,18,stochastic_mpc,47.22222222222222,52.77777777777778,44.79166666666667,74.93664966466379,59.87107858401531,25.63774174308388
SMPC short horizon,variable,19,stochastic_mpc,71.875,26.38888888888889,9.027777777777777,99.93653649202908,36.97538059745713,5.348792606662354
DMPC baseline,variable,0,deterministic_mpc,89.23611111111111,10.76388888888889,7.291666666666667,114.27972835987352,28.05600866458144,4.238346703874793
DMPC baseline,variable,1,deterministic_mpc,62.15277777777778,29.166666666666668,11.805555555555555,105.72129832231462,47.31672498449936,14.119474865918733
DMPC baseline,variable,2,deterministic_mpc,43.40277777777778,42.36111111111111,39.93055555555556,95.02804000924203,74.00713317657492,93.97647876450664
DMPC baseline,variable,3,deterministic_mpc,95.83333333333334,0.0,0.0,139.04665843681516,15.308201792951655,0.019209488252175142
DMPC baseline,variable,4,deterministic_mpc,44.79166666666667,48.26388888888889,44.44444444444444,90.71031949887691,67.76401366500812,61.43722960932777
DMPC baseline,variable,5,deterministic_mpc,84.375,15.625,10.76388888888889,112.46733136789663,30.242040188137047,7.380621562092884
DMPC baseline,variable,6,deterministic_mpc,91.31944444444444,0.0,0.0,151.21657432056145,14.531802589512287,0.003385264357668364
DMPC baseline,variable,7,deterministic_mpc,88.54166666666666,0.0,0.0,144.9815350835201,17.933672713136815,0.0032666987429506807
DMPC baseline,variable,8,deterministic_mpc,90.27777777777779,0.0,0.0,137.14265467485387,20.883654368610106,0.0238960203799385
DMPC baseline,variable,9,deterministic_mpc,82.98611111111111,17.01388888888889,14.23611111111111,103.90620310529127,36.99228994179025,13.673877024770647
DMPC baseline,variable,10,deterministic_mpc,97.91666666666666,0.3472222222222222,0.0,128.9068613617104,21.86240592893705,0.43967762196911925
DMPC baseline,variable,11,deterministic_mpc,65.27777777777779,34.72222222222222,16.319444444444446,98.29119364854166,44.69138205064146,9.898276224815051
DMPC baseline,variable,12,deterministic_mpc,92.70833333333334,7.291666666666667,1.3888888888888888,112.70691717232613,20.504000680964275,1.404024220572004
DMPC baseline,variable,13,deterministic_mpc,85.41666666666666,4.513888888888888,0.0,133.52790468271598,28.21501380556822,0.9556624719508312
DMPC baseline,variable,14,deterministic_mpc,92.01388888888889,7.986111111111111,6.25,115.78136023694242,25.591501080679,3.245244236284536
DMPC baseline,variable,15,deterministic_mpc,64.58333333333334,25.0,12.847222222222221,114.308139763687,43.4396108772475,8.406295430206555
DMPC baseline,variable,16,deterministic_mpc,97.91666666666666,0.3472222222222222,0.0,123.82524142741903,23.11636878585583,0.5724230275685608
DMPC baseline,variable,17,deterministic_mpc,56.59722222222222,39.23611111111111,10.069444444444445,94.12611616108079,42.2885182152491,6.641137715033275
DMPC baseline,variable,18,deterministic_mpc,99.30555555555556,0.6944444444444444,0.0,110.20285755885953,24.55987639224583,1.1502519698391105
DMPC baseline,variable,19,deterministic_mpc,93.75,0.0,0.0,129.0475975124952,21.853979109503094,0.14369090715204946
SMPC full,nocturnal,0,stochastic_mpc,91.31944444444444,8.680555555555555,5.208333333333334,110.33963309150012,24.797289251265088,2.721317867343336
SMPC full,nocturnal,1,stochastic_mpc,96.875,3.125,0.0,122.66170192323145,21.164477424004346,0.90183671249537
SMPC full,nocturnal,2,stochastic_mpc,65.27777777777779,6.597222222222222,0.3472222222222222,152.41650844821874,27.1213820653587,1.0703683593176185
SMPC full,nocturnal,3,stochastic_mpc,90.27777777777779,0.0,0.0,144.6670477243372,16.179856228852103,0.031307706842871826
SMPC full,nocturnal,4,stochastic_mpc,87.5,5.555555555555555,0.0,121.49348962094291,29.204960727919982,1.3807065330742527
SMPC full,nocturnal,5,stochastic_mpc,90.97222222222221,9.027777777777777,6.944444444444445,117.7522994707548,28.10765845470819,3.0230071005684476
SMPC full,nocturnal,6,stochastic_mpc,90.97222222222221,0.0,0.0,141.94428633591573,17.774177427175136,0.02325058232915629
SMPC full,nocturnal,7,stochastic_mpc,87.5,0.0,0.0,145.4165984211749,21.702899097719826,0.14356887928208317
SMPC full,nocturnal,8,stochastic_mpc,97.91666666666666,0.0,0.0,139.79329858169388,18.488838047309763,0.2686778061030137
SMPC full,nocturnal,9,stochastic_mpc,89.58333333333334,10.069444444444445,7.638888888888889,111.02300076697254,31.188410720986255,4.741396294521503
SMPC full,nocturnal,10,stochastic_mpc,94.09722222222221,5.902777777777778,0.0,126.44323376655701,24.156859525962144,1.072168543530368
SMPC full,nocturnal,11,stochastic_mpc,86.45833333333334,6.25,0.3472222222222222,129.67067133298968,27.59291020427657,1.3378979625833916
SMPC full,nocturnal,12,stochastic_mpc,98.26388888888889,1.7361111111111112,0.0,123.28499466733537,15.98786599278936,0.49342879191767836
SMPC full,nocturnal,13,stochastic_mpc,83.68055555555556,3.8194444444444446,0.0,140.87682102289466,26.324394260587177,0.8348428681253652
SMPC full,nocturnal,14,stochastic_mpc,88.19444444444444,8.333333333333332,1.3888888888888888,107.65932684712301,29.88335338175379,2.336746724560976
SMPC full,nocturnal,15,stochastic_mpc,94.79166666666666,0.0,0.0,129.70682065623942,21.01126828470855,0.374096580862491
SMPC full,nocturnal,16,stochastic_mpc,96.52777777777779,0.0,0.0,132.5739054343678,19.500525952024617,0.2202323055805242
SMPC full,nocturnal,17,stochastic_mpc,73.95833333333334,0.0,0.0,152.04580427138254,21.665142033215105,0.1307822893433417
SMPC full,nocturnal,18,stochastic_mpc,72.22222222222221,27.77777777777778,15.625,99.7380031209741,36.834347993433695,6.510752404043773
SMPC full,nocturnal,19,stochastic_mpc,85.06944444444444,6.944444444444445,0.3472222222222222,131.1490567782912,26.941338292364865,1.3850259769461128
SMPC no variance penalty,nocturnal,0,stochastic_mpc,92.36111111111111,7.638888888888889,4.166666666666666,113.04727241479434,24.184219049357264,2.0859240616878383
SMPC no variance penalty,nocturnal,1,stochastic_mpc,96.875,3.125,0.0,122.66170192323145,21.164477424004346,0.90183671249537
SMPC no variance penalty,nocturnal,2,stochastic_mpc,65.27777777777779,6.597222222222222,0.3472222222222222,152.41650844821874,27.1213820653587,1.0703683593176185
SMPC no variance penalty,nocturnal,3,stochastic_mpc,90.27777777777779,0.0,0.0,144.6670477243372,16.179856228852103,0.031307706842871826
SMPC no variance penalty,nocturnal,4,stochastic_mpc,87.5,5.555555555555555,0.0,121.49348962094291,29.204960727919982,1.3807065330742527
SMPC no variance penalty,nocturnal,5,stochastic_mpc,90.97222222222221,9.027777777777777,6.944444444444445,117.7522994707548,28.10765845470819,3.0230071005684476
SMPC no variance penalty,nocturnal,6,stochastic_mpc,90.97222222222221,0.0,0.0,141.94428633591573,17.774177427175136,0.02325058232915629
SMPC no variance penalty,nocturnal,7,stochastic_mpc,87.5,0.0,0.0,145.4165984211749,21.702899097719826,0.14356887928208317
SMPC no variance penalty,nocturnal,8,stochastic_mpc,97.91666666666666,0.0,0.0,139.79329858169388,18.488838047309763,0.2686778061030137
SMPC no variance penalty,nocturnal,9,stochastic_mpc,89.58333333333334,10.069444444444445,7.638888888888889,111.02300076697254,31.188410720986255,4.741396294521503
SMPC no variance penalty,nocturnal,10,stochastic_mpc,94.09722222222221,5.902777777777778,0.0,126.44323376655701,24.156859525962144,1.072168543530368
SMPC no variance penalty,nocturnal,11,stochastic_mpc,86.45833333333334,6.25,0.3472222222222222,129.67067133298968,27.59291020427657,1.3378979625833916
SMPC no variance penalty,nocturnal,12,stochastic_mpc,98.26388888888889,1.7361111111111112,0.0,123.28499466733537,15.98786599278936,0.49342879191767836
SMPC no variance penalty,nocturnal,13,stochastic_mpc,83.68055555555556,3.8194444444444446,0.0,140.87682102289466,26.324394260587177,0.8348428681253652
SMPC no variance penalty,nocturnal,14,stochastic_mpc,88.19444444444444,8.333333333333332,1.3888888888888888,107.65932684712301,29.88335338175379,2.336746724560976
SMPC no variance penalty,nocturnal,15,stochastic_mpc,94.79166666666666,0.0,0.0,129.70682065623942,21.01126828470855,0.374096580862491
SMPC no variance penalty,nocturnal,16,stochastic_mpc,96.52777777777779,0.0,0.0,132.5739054343678,19.500525952024617,0.2202323055805242
SMPC no variance penalty,nocturnal,17,stochastic_mpc,73.95833333333334,0.0,0.0,152.04580427138254,21.665142033215105,0.1307822893433417
SMPC no variance penalty,nocturnal,18,stochastic_mpc,72.22222222222221,27.77777777777778,15.625,99.7380031209741,36.834347993433695,6.510752404043773
SMPC no variance penalty,nocturnal,19,stochastic_mpc,85.06944444444444,6.944444444444445,0.3472222222222222,131.1490567782912,26.941338292364865,1.3850259769461128
SMPC no chance tightening,nocturnal,0,stochastic_mpc,92.36111111111111,7.638888888888889,4.166666666666666,112.87996107890568,23.988453752094657,2.0669114508580892
